Country,Continent,Alcoholic_Beverages,Animal_fats,Animal_Products,Aquatic_Products_Other,Cereals_Excluding_Beer,Eggs,Fish_Seafood,Fruits_Excluding_Wine,Meat,Milk_Excluding_Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy_Roots,Stimulants,Sugar_And_Sweeteners,Sugar_Crops,Treenuts,Vegetable_Oils,Vegetables,Vegetal_Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Grains,Vegetables_Sum,Fruits,Protein,Grains_25,Vegetables_Sum_25,Fruits_25,Protein_25,Total_25,Max_of_4,Min_of_4,Healthy_Or_Not,Deaths_rate,Recovered_rate,Active_rate,Total_rate
Afghanistan,Asia,0.0014,0.1973,9.4341,0.0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0.0,0.077,0.5345,6.7642,40.5645,4.5,29.8,0.039968982,0.000675569,0.003490879,0.035802534,38042000.0,27.846300000000003,47.863200000000006,5.3509,18.939600000000002,23.205250000000003,29.914500000000004,13.377250000000002,23.674500000000005,90.17150000000002,v,f,0.0,1.6902331913282154,8.733970257235974,89.5757965514358,99.99999999999999
Albania,Europe,1.6719,0.1357,18.7684,0.0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,0.0008,1.8096,0.1055,1.5367,0.0,0.1515,0.3261,11.7753,31.2304,22.3,6.2,0.039783065,0.001154654,0.030510847,0.008117565,2858000.0,10.561499999999999,43.3318,8.458,37.64869999999999,8.80125,27.082375000000003,21.145,47.06087499999999,104.08949999999999,p,g,0.0,2.90237567165828,76.69305268460337,20.40457415737073,100.00000251363238
Algeria,Africa,0.2711,0.0282,9.6334,0.0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0.0,0.1152,1.031,11.6484,40.3651,26.6,3.9,0.021642169,0.0015044,0.013242409,0.00689536,43406000.0,20.8699,53.0445,6.651199999999999,19.4344,17.391583333333337,33.1528125,16.628,24.293,91.46539583333333,v,f,1.0,6.951244119755279,61.187993680300714,31.86076219994401,100.0
Angola,Africa,5.8087,0.056,4.9278,0.0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,0.0009,18.1102,0.0508,1.8495,0.0,0.0061,0.6463,2.3041,45.0722,6.8,25.0,0.00027365,1.27e-05,5.73e-05,0.000203647,31427000.0,30.195299999999996,48.022600000000004,11.8092,9.9729,25.162749999999996,30.014125000000003,29.523,12.466124999999998,97.166,v,p,0.0,4.640964735976612,20.93915585602046,74.4187831171204,99.99890370911747
Antigua and Barbuda,North America,3.5764,0.0087,16.6613,0.0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0.0,0.0253,0.8102,5.4495,33.3233,19.1,5.086516853932585,0.026804124,0.003092784,0.019587629,0.004123711,97000.0,12.0584,39.583000000000006,14.3215,34.037200000000006,10.048666666666668,24.739375000000003,35.80375,42.54650000000001,113.13829166666667,p,g,0.0,11.53846326035501,73.07692278994084,15.384613949704159,100.00000000000001
Argentina,South America,4.2672,0.2234,19.3454,0.0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0.0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0.0,0.02,0.9541,4.3503,30.6559,28.5,4.6,0.037497497,0.001199404,0.011873873,0.024424219,44939000.0,15.040199999999997,35.9603,10.3107,38.6888,12.533499999999997,22.4751875,25.776750000000003,48.361,109.14643749999999,p,g,0.0,3.1986241641675446,31.665774918256545,65.13559825073125,99.99999733315533
Armenia,Asia,0.4014,0.1833,13.564,0.0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0.0,0.1108,0.4705,16.7019,36.4358,20.9,4.3,0.313369345,0.004422687,0.114314652,0.194632005,2962000.0,12.528599999999997,53.6082,6.5003,27.362899999999996,10.440499999999998,33.505125,16.25075,34.203624999999995,94.4,p,g,0.0,1.411333645286842,36.4792069881628,62.10945904743809,99.99999968088773
Australia,Australia,5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0.0,0.3176,1.2798,5.1406,28.5806,30.4,2.5,0.028460779,0.000407034,0.026152934,0.00190081,25305000.0,11.9029,35.001,9.7319,43.3643,9.919083333333333,21.875625,24.32975,54.205375000000004,110.32983333333334,p,g,0.0,1.4301576214762077,91.89113903031256,6.678699834603965,99.99999648639273
Austria,Europe,7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,0.0005,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0.0,0.2367,0.8109,5.1098,30.4338,21.9,2.5,0.188475836,0.007525065,0.17565619,0.005294582,8877000.0,12.8864,36.3545,11.6284,39.130900000000004,10.738666666666667,22.7215625,29.070999999999998,48.913625,111.44485416666666,p,g,0.0,3.9925887369455673,93.198254868067,2.8091569255594124,100.00000053057197
Azerbaijan,Asia,3.5969,0.2544,11.6416,0.0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0.0,0.1906,0.2235,10.0755,38.3584,19.9,2.5,0.054813928,0.000628554,0.034201337,0.019984037,10023000.0,19.649100000000004,48.6574,8.3957,23.297700000000006,16.374250000000004,30.410875000000004,20.98925,29.12212500000001,96.89650000000002,v,g,1.0,1.1467049031771634,62.39534046894066,36.457954627882174,100.0
Bahamas,North America,2.0175,0.0062,11.4718,0.0009,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0.0,0.0495,0.511,7.7649,38.5229,32.1,5.086516853932585,0.02622108,0.002827763,0.012339332,0.011053985,389000.0,12.0376,46.7988,15.2893,25.874299999999998,10.031333333333333,29.24925,38.22325,32.342875,109.84670833333334,f,g,0.0,10.784311706459079,47.058824426758925,42.156863866782,100.0
Bangladesh,Asia,0.0031,0.0156,5.1926,0.0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,14.7,0.028810328,0.000397148,0.005976159,0.022437022,163667000.0,37.520100000000006,49.2053,2.8686,10.4059,31.266750000000005,30.753312500000003,7.1715,13.007375000000001,82.1989375,g,f,0.0,1.3784917686462994,20.743113372398952,77.87839832993224,100.00000347097749
Barbados,North America,3.565,0.2212,12.4976,0.0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.032055749,0.002439024,0.026480836,0.003135889,287000.0,18.4085,43.8569,9.4373,28.2972,15.340416666666668,27.4105625,23.59325,35.3715,101.71572916666666,p,g,0.0,7.608694465382793,82.6086952452741,9.782610289343106,100.00000000000001
Belarus,Europe,3.7563,0.3353,12.7089,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,26.6,2.5,0.449519383,0.002482307,0.195563536,0.25147354,9467000.0,19.7998,46.9567,7.3228,25.920599999999997,16.49983333333333,29.3479375,18.307000000000002,32.400749999999995,96.55552083333333,p,g,1.0,0.5522135627241684,43.50502856959118,55.942757867684655,100.0
Belgium,Europe,5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0.0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.0,0.1309,0.564,6.8161,32.2637,24.5,2.5,0.509521732,0.082623495,0.138654215,0.288244022,11458000.0,15.365100000000002,39.6438,9.5353,35.4559,12.80425,24.777375,23.83825,44.319874999999996,105.73975,p,g,0.0,16.215892239901557,27.21262044226212,56.571487317836336,100.00000000000001
Belize,North America,3.3803,0.0832,8.6856,0.0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0.0,0.034,1.0198,4.7721,41.3122,22.4,7.5,0.004411765,0.000490196,0.003921569,0.0,408000.0,17.769499999999997,47.104099999999995,15.989700000000001,19.136499999999998,14.807916666666666,29.440062499999996,39.97425,23.920624999999998,108.14285416666667,f,g,0.0,11.111108592592762,88.88889140740723,0.0,99.99999999999999
Benin,Africa,5.9019,0.0132,3.7504,0.0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0.0,0.4028,0.7381,4.1964,46.2493,8.2,10.1,0.001965935,2.54e-05,0.001211762,0.000728752,11801000.0,32.3162,51.1838,8.8542,7.6458,26.930166666666665,31.989875,22.135500000000004,9.55725,90.61279166666667,v,p,0.0,1.2920060937925213,61.63794835536272,37.06897735683022,99.99893180598545
Bolivia,South America,2.8956,0.0889,11.7799,0.0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,0.087027027,0.002728858,0.008439407,0.075858762,11470000.0,24.0735,41.796200000000006,10.404399999999999,23.725900000000003,20.06125,26.122625000000006,26.010999999999996,29.657375000000002,101.85225,p,g,1.0,3.1356442866880876,9.697455251458836,87.16690046185306,99.99999999999999
